scenario,policy,accuracy,accuracy_on_completed,reliability,dropped_responses,avg_latency_ms
easy,random,68.75,68.75,100.0,0.0,18.939962932462564
easy,trust,68.75,68.75,100.0,0.0,18.768740442510893
hard,random,22.916666666666668,22.916666666666668,10.416666666666666,0.0,17.21735577237595
hard,trust,39.583333333333336,40.68996415770609,13.541666666666666,3.125,24.81736764212521
medium,random,43.75,43.75,32.291666666666664,0.0,17.517061999883172
medium,trust,66.66666666666667,66.66666666666667,66.66666666666667,0.0,19.241575801879225
