exit,accuracy_top1,accuracy_top5,latency_ms
1,20.919999480247498,53.860002756118774,0.22802
2,57.77999758720398,87.23999857902527,0.414201
3,73.989999294281,92.65000224113464,0.681282
4,75.74999928474426,93.68000030517578,0.748038
