scenario,policy,accuracy,accuracy_on_completed,reliability,dropped_responses,avg_latency_ms
easy,random,65.1,65.1,100.0,0.0,1.2792143359721393
easy,trust,66.15,66.15,100.0,0.0,1.1502351066678425
hard,random,34.96666666666667,35.34373984871687,98.98333333333333,1.0166666666666666,1.2900478249620326
hard,trust,49.15,49.21383091060253,99.76666666666667,0.23333333333333336,1.271799357136513
medium,random,51.81666666666666,51.83263263263263,99.96666666666665,0.03333333333333333,1.2441102744656132
medium,trust,62.06666666666666,62.103707414829664,99.93333333333334,0.06666666666666667,1.2283494567490707
